ur_U,ur_S,skilled_share,training_share,emp_var_U,emp_cm3_U,emp_var_S,emp_cm3_S,jfr_U,sep_rate_U,jfr_S,sep_rate_S,ee_rate_S,mean_wage_U,mean_wage_S,p50_wage_U,p50_wage_S,wage_premium,theta_U,theta_S
4.043154366383385e-8,2.2002432970033026e-8,-2.690166910661279e-8,-2.8781790977207863e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2002432970033026e-8,1.832717183922136e-8,-1.841200988390183e-8,-5.960446511302274e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.690166910661279e-8,-1.841200988390183e-8,3.631690255779571e-8,6.944573737793089e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.8781790977207863e-9,-5.960446511302274e-9,6.944573737793089e-9,2.3672771622609327e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.7445987221834842e-10,2.6222729881192137e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.789801018961013e-11,0.0,-3.4163543032564047e-7,0.0,-5.774796018496533e-11,0.0,0.0
0.0,0.0,0.0,0.0,2.6222729881192137e-10,5.113483743428092e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0112416184107588e-10,0.0,1.080599271356101e-7,0.0,-4.5988152550320154e-11,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.7446634431855505e-10,2.9222622336429234e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.4174403331678062e-10,0.0,-5.625445244991407e-7,5.6668536048201325e-11,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.9222622336429234e-10,5.042376872321455e-10,0.0,0.0,0.0,0.0,0.0,0.0,8.151608267296439e-11,0.0,6.963764284559464e-7,1.7708494175753235e-11,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.213797163682593e-7,-1.737901470715895e-8,8.909131447799539e-7,-1.398513767119684e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.737901470715895e-8,3.062872463159181e-9,-1.994910949029523e-8,1.0490021054467497e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.909131447799539e-7,-1.994910949029523e-8,2.139267255280459e-6,-9.242902510114514e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.398513767119684e-9,1.0490021054467497e-9,-9.242902510114514e-9,1.3645238525798338e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.10275114279232e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,9.789801018961013e-11,1.0112416184107588e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4020481264004967e-10,0.0,-1.4903190374515906e-6,0.0,-1.405274973958573e-10,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.4174403331678062e-10,8.151608267296439e-11,0.0,0.0,0.0,0.0,0.0,0.0,2.392295832091937e-10,0.0,-2.468585394682641e-6,1.7961417916293956e-10,0.0,0.0
0.0,0.0,0.0,0.0,-3.4163543032564047e-7,1.080599271356101e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4903190374515906e-6,0.0,0.04173810097855811,0.0,1.729153357389604e-6,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-5.625445244991407e-7,6.963764284559464e-7,0.0,0.0,0.0,0.0,0.0,0.0,-2.468585394682641e-6,0.0,0.06292983723344177,-1.990326519097213e-6,0.0,0.0
0.0,0.0,0.0,0.0,-5.774796018496533e-11,-4.5988152550320154e-11,5.6668536048201325e-11,1.7708494175753235e-11,0.0,0.0,0.0,0.0,0.0,-1.405274973958573e-10,1.7961417916293956e-10,1.729153357389604e-6,-1.990326519097213e-6,3.315061369492509e-10,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7841300870246014e-5,7.774195880541945e-5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.774195880541945e-5,0.0001802539314175761
